"","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18","W19","W20","W21"
"W2",0,0.637960770524981,0.348895145654396,0.405167582180888,0.530502334831357,0.402635231282662,0.318423220313558,0.234114583333333,0.3330650182068,0.353395570404631,0.600813932334897,0.349315776823445,0.430208333333333,0.549488395052876,0.492643229166667,0.289583333333333,0.462497842081356,0.576041666666667,0.324315776823445,0.370263754079328
"W3",0.637960770524981,0,0.569999686475898,0.640580269093482,0.757970883744989,0.656849211228614,0.614048361521435,0.614054115971151,0.504857868240347,0.500455714207081,0.782325023400941,0.597904459635417,0.490930097102931,0.723881859663824,0.560891664624073,0.570452841520215,0.690059054290422,0.649907154714969,0.623619346615641,0.578470236458862
"W4",0.348895145654396,0.569999686475898,0,0.341471354166667,0.542813026107696,0.365740740740741,0.357827831901835,0.392937156160531,0.396622249284251,0.343462722585951,0.606560933952514,0.455502589144508,0.449494498568501,0.513472375472104,0.424382468660531,0.310158166487729,0.452669029402419,0.626120191889052,0.433270145654396,0.379516444205861
"W5",0.405167582180888,0.640580269093482,0.341471354166667,0,0.557750266390767,0.429472303693999,0.428560457227356,0.367538632700664,0.390580526837559,0.504918004161471,0.56112507989096,0.504282200732785,0.474747249284251,0.499057827392743,0.462992607451424,0.399120793140756,0.478057496483775,0.596731278575316,0.535385072827198,0.381517152581785
"W6",0.530502334831357,0.757970883744989,0.542813026107696,0.557750266390767,0,0.503538880435538,0.495833079020182,0.561069434086199,0.564750546178956,0.562642160541548,0.573976239357518,0.589812176225499,0.60624574025472,0.558660538145446,0.6481873234066,0.583686453499878,0.532344013053848,0.561768123010394,0.60677007039388,0.517967522042647
"W7",0.402635231282662,0.656849211228614,0.365740740740741,0.429472303693999,0.503538880435538,0,0.299163206109631,0.456400954612587,0.420664419506923,0.450572209097235,0.607722374070697,0.427356030762416,0.453087781974261,0.540421998658861,0.41577591807733,0.439961620171551,0.574133618830413,0.668538973591216,0.47329663343144,0.354602823875255
"W8",0.318423220313558,0.614048361521435,0.357827831901835,0.428560457227356,0.495833079020182,0.299163206109631,0,0.355940755208333,0.4426622977356,0.362335264968367,0.671925474118196,0.444107443490112,0.439583333333333,0.565469629857649,0.470746546583155,0.356964886980224,0.535399403317517,0.611887265521468,0.421484375,0.387938673393823
"W9",0.234114583333333,0.614054115971151,0.392937156160531,0.367538632700664,0.561069434086199,0.456400954612587,0.355940755208333,0,0.412662999977633,0.402742454893596,0.625040841248988,0.312488491100567,0.3515625,0.53958257039388,0.449631715218132,0.290625,0.515930097102931,0.520077249444437,0.399967447916667,0.337886549542534
"W10",0.3330650182068,0.504857868240347,0.396622249284251,0.390580526837559,0.564750546178956,0.420664419506923,0.4426622977356,0.412662999977633,0,0.264906250125145,0.572999716535858,0.522445304988921,0.417610677083333,0.636584513758414,0.57823670109066,0.394921875,0.486714434162712,0.553026509759815,0.47913144183655,0.430550212412661
"W11",0.353395570404631,0.500455714207081,0.343462722585951,0.504918004161471,0.562642160541548,0.450572209097235,0.362335264968367,0.402742454893596,0.264906250125145,0,0.689404726577771,0.522963369872078,0.424413046128898,0.644221571444833,0.569260563340895,0.355065938519832,0.524182065383056,0.594972018605089,0.445662494786075,0.475742657817291
"W12",0.600813932334897,0.782325023400941,0.606560933952514,0.56112507989096,0.573976239357518,0.607722374070697,0.671925474118196,0.625040841248988,0.572999716535858,0.689404726577771,0,0.608195409972098,0.625185027715956,0.484448214529356,0.578637537955861,0.59274236917364,0.470385270117584,0.618933565812984,0.632251307970844,0.534805826061075
"W13",0.349315776823445,0.597904459635417,0.455502589144508,0.504282200732785,0.589812176225499,0.427356030762416,0.444107443490112,0.312488491100567,0.522445304988921,0.522963369872078,0.608195409972098,0,0.386763430436264,0.524739201863607,0.341666412353516,0.332965048551465,0.5853245954712,0.630815453643597,0.371548220313558,0.339204207259709
"W14",0.430208333333333,0.490930097102931,0.449494498568501,0.474747249284251,0.60624574025472,0.453087781974261,0.439583333333333,0.3515625,0.417610677083333,0.424413046128898,0.625185027715956,0.386763430436264,0,0.534895451863607,0.3583218244339,0.3875,0.620649190942399,0.607237210511352,0.368607584635417,0.381238491100567
"W15",0.549488395052876,0.723881859663824,0.513472375472104,0.499057827392743,0.558660538145446,0.540421998658861,0.565469629857649,0.53958257039388,0.636584513758414,0.644221571444833,0.484448214529356,0.524739201863607,0.534895451863607,0,0.549151921962325,0.528140331901835,0.450764007556313,0.515744958428762,0.5837890625,0.528469685710627
"W16",0.492643229166667,0.560891664624073,0.424382468660531,0.462992607451424,0.6481873234066,0.41577591807733,0.470746546583155,0.449631715218132,0.57823670109066,0.569260563340895,0.578637537955861,0.341666412353516,0.3583218244339,0.549151921962325,0,0.4541436488678,0.534185436963188,0.609081513404255,0.480565057517231,0.452939418996637
"W17",0.289583333333333,0.570452841520215,0.310158166487729,0.399120793140756,0.583686453499878,0.439961620171551,0.356964886980224,0.290625,0.394921875,0.355065938519832,0.59274236917364,0.332965048551465,0.3875,0.528140331901835,0.4541436488678,0,0.478982524275733,0.528512055078389,0.306477235156779,0.3176968244339
"W18",0.462497842081356,0.690059054290422,0.452669029402419,0.478057496483775,0.532344013053848,0.574133618830413,0.535399403317517,0.515930097102931,0.486714434162712,0.524182065383056,0.470385270117584,0.5853245954712,0.620649190942399,0.450764007556313,0.534185436963188,0.478982524275733,0,0.472101216791065,0.6135186488678,0.530826173543998
"W19",0.576041666666667,0.649907154714969,0.626120191889052,0.596731278575316,0.561768123010394,0.668538973591216,0.611887265521468,0.520077249444437,0.553026509759815,0.594972018605089,0.618933565812984,0.630815453643597,0.607237210511352,0.515744958428762,0.609081513404255,0.528512055078389,0.472101216791065,0,0.574167423288701,0.667675141850388
"W20",0.324315776823445,0.623619346615641,0.433270145654396,0.535385072827198,0.60677007039388,0.47329663343144,0.421484375,0.399967447916667,0.47913144183655,0.445662494786075,0.632251307970844,0.371548220313558,0.368607584635417,0.5837890625,0.480565057517231,0.306477235156779,0.6135186488678,0.574167423288701,0,0.410342637695973
"W21",0.370263754079328,0.578470236458862,0.379516444205861,0.381517152581785,0.517967522042647,0.354602823875255,0.387938673393823,0.337886549542534,0.430550212412661,0.475742657817291,0.534805826061075,0.339204207259709,0.381238491100567,0.528469685710627,0.452939418996637,0.3176968244339,0.530826173543998,0.667675141850388,0.410342637695973,0
