Group,Index,R2,R2Adj,slop,P
Bacteria_All,observed,0.307514021761152,0.26904257852566,-133.002190588987,0.011164758320468
Bacteria_All,chao1,0.19949220778583,0.155019552662821,-134.337106650635,0.0483565254236274
Bacteria_All,diversity_shannon,0.188853342278443,0.14378963907169,-0.057466912470834,0.0555274681915095
Bacteria_All,evenness_pielou,0.0960201051194775,0.0457989998483374,-0.00316650727015844,0.183662471581408
Bacteria_Core,observed,0.00286744686625827,-0.0525288060856164,0.610902061271666,0.822588531665619
Bacteria_Core,chao1,0.00689701793290357,-0.0482753699597129,0.942480181773308,0.727771887764472
Bacteria_Core,diversity_shannon,0.0094050174054058,-0.0456280371831828,0.011182504925068,0.684198661973761
Bacteria_Core,evenness_pielou,0.00243421165203149,-0.0529861099228557,0.000811283227137245,0.836351184876309
Bacteria_Satellite,observed,0.328647323181721,0.291349952247373,-138.743356337661,0.00823109344629142
Bacteria_Satellite,chao1,0.230427085523426,0.187673034719172,-140.581042693017,0.032190734719522
Bacteria_Satellite,diversity_shannon,0.254471576169549,0.21305333040119,-0.0680361944463817,0.0233166174761907
Bacteria_Satellite,evenness_pielou,0.130258339912945,0.081939358796997,-0.0037101575691879,0.11796840458133
Fungi_All,observed,0.401627157132909,0.368384221418071,-38.5748372219018,0.00269748711232567
Fungi_All,chao1,0.402731633229342,0.369550057297639,-38.6678075279864,0.00265005906033825
Fungi_All,diversity_shannon,0.0291853319355813,-0.0247488162902199,-0.0761277049649239,0.471442758375767
Fungi_All,evenness_pielou,0.000386270103119376,-0.0551478260022629,0.00139096733088096,0.934454048647455
Fungi_Core,observed,0.0490621449786283,-0.0037677358558923,-0.190310335640792,0.34797476374417
Fungi_Core,chao1,0.0490621449786283,-0.0037677358558923,-0.190310335640792,0.34797476374417
Fungi_Core,diversity_shannon,0.000185629797299988,-0.0553596129917389,-0.00352673101149872,0.954537173593295
Fungi_Core,evenness_pielou,0.000482534336610963,-0.0550462137557997,0.00206614100836803,0.926759209380944
Fungi_Satellite,observed,0.390512587416745,0.356652175606564,-36.566966206084,0.0032196985830122
Fungi_Satellite,chao1,0.392125979378116,0.358355200454678,-36.6776518985402,0.00313858061104279
Fungi_Satellite,diversity_shannon,0.0252361320061076,-0.0289174162157753,-0.0625482293409438,0.503519870450474
Fungi_Satellite,evenness_pielou,0.0187061018059171,-0.035810225871532,0.00886870853894172,0.565302022496182
