"","K","PIC.variance.obs","PIC.variance.rnd.mean","PIC.variance.P","PIC.variance.Z","taxa","type"
"observed",0.667603802022049,1657243.55870755,1404171.99610713,0.957,1.72030005361923,"Bacteria","All"
"chao1",0.674450611989564,2587585.77275826,2215966.90405033,0.942,1.63752348608202,"Bacteria","All"
"diversity_shannon",0.676385530714452,0.497417714621852,0.427459196983722,0.934,1.58910148077437,"Bacteria","All"
"evenness_pielou",0.698060825471116,0.00287400616717996,0.00255079828293282,0.866,1.07037933017872,"Bacteria","All"
"observed1",0.917923442494704,2854.31555681514,3174.58596711593,0.259,-0.721401462029791,"Bacteria","Core"
"chao11",0.9012989882453,2847.20296947139,3154.06895088445,0.261,-0.683666046042751,"Bacteria","Core"
"diversity_shannon1",0.950447076673199,0.293000212935679,0.323954191915971,0.194,-0.858674544227129,"Bacteria","Core"
"evenness_pielou1",0.865799410853128,0.00621923797444503,0.0066276665547612,0.307,-0.459239627152223,"Bacteria","Core"
"observed2",0.675117331698354,1664223.30378496,1430852.06073643,0.938,1.51458227059838,"Bacteria","Satellite"
"chao12",0.669201337463073,2468792.56372269,2084369.50308108,0.961,1.81836279782158,"Bacteria","Satellite"
"diversity_shannon2",0.677994611448917,0.510196604444707,0.444480839497458,0.938,1.45734527529275,"Bacteria","Satellite"
"evenness_pielou2",0.71849277390298,0.00279844141802439,0.00258518429044066,0.769,0.725833847440906,"Bacteria","Satellite"
"observed3",0.735360881488694,101870.065343529,91200.8671260941,0.871,1.08060188796932,"Fungi","All"
"chao13",0.735409882094808,102047.358400572,90839.3723997572,0.874,1.13452537934592,"Fungi","All"
"diversity_shannon3",0.761495249518149,5.21091143099317,4.84984162382292,0.742,0.674946633713821,"Fungi","All"
"evenness_pielou3",0.796439458816356,0.123985298302113,0.122796469804528,0.513,0.0869964931166712,"Fungi","All"
"observed4",0.862285717300806,17.1241004245678,18.0947775546667,0.363,-0.389672647829584,"Fungi","Core"
"chao14",0.862285717300806,17.1241004245678,18.1167591297347,0.359,-0.400569755736548,"Fungi","Core"
"diversity_shannon4",0.886588046523684,1.5248662868656,1.63509846812589,0.267,-0.593554640226627,"Fungi","Core"
"evenness_pielou4",0.891614676159559,0.200000896680336,0.21589172974819,0.239,-0.637329427654567,"Fungi","Core"
"observed5",0.733292386813142,94055.686943107,84107.0919995524,0.862,1.07942992376826,"Fungi","Satellite"
"chao15",0.732952482235236,94248.8225064865,83613.5709234316,0.876,1.12351739813737,"Fungi","Satellite"
"diversity_shannon5",0.652137639890113,4.64281549890659,3.78935537039486,0.976,2.01870352754309,"Fungi","Satellite"
"evenness_pielou5",0.775665674020126,0.111814627766831,0.103079024427097,0.786,0.813554594821808,"Fungi","Satellite"
