"","Df","Variance","F","Pr(>F)","R2","Taxa","Factor"
"N",1,0.0401646503171606,1.20443392779337,0.15,0.0578189225776402,"Bacteria","N"
"P",1,0.0382618468880489,1.14737377689335,0.208,0.0550797466286523,"Bacteria","P"
"pH",1,0.0450334419468486,1.35043638965589,0.082,0.0648277794719655,"Bacteria","pH"
"EC",1,0.0794974203915023,2.38392191978499,0.001,0.114440314018482,"Bacteria","EC"
"Shoot",1,0.0338005570064676,1.01359123795259,0.349,0.0486575078634028,"Bacteria","Shoot"
"Leaf",1,0.031458751525474,0.943366551534841,0.508,0.0452863676013,"Bacteria","Leaf"
"Haplotype",1,0.0262781501383201,0.788013721924976,0.868,0.0378286457452855,"Bacteria","Haplotype"
"Residual",12,0.400167906834829,NA,NA,0.576060716093271,"Bacteria","Residual"
"N1",1,0.0401646503171606,1.20443392779337,0.164,0.0578189225776402,"Fungi","N"
"P1",1,0.0382618468880489,1.14737377689335,0.181,0.0550797466286523,"Fungi","P"
"pH1",1,0.0450334419468486,1.35043638965589,0.074,0.0648277794719655,"Fungi","pH"
"EC1",1,0.0794974203915023,2.38392191978499,0.002,0.114440314018482,"Fungi","EC"
"Shoot1",1,0.0338005570064676,1.01359123795259,0.393,0.0486575078634028,"Fungi","Shoot"
"Leaf1",1,0.031458751525474,0.943366551534841,0.49,0.0452863676013,"Fungi","Leaf"
"Haplotype1",1,0.0262781501383201,0.788013721924976,0.884,0.0378286457452855,"Fungi","Haplotype"
"Residual1",12,0.400167906834829,NA,NA,0.576060716093271,"Fungi","Residual"
